Crop,Season,State,Soil_Type,Area,Cost_per_Hectare
Jowar,Annual,Telangana,Sandy,0.9,23365
Jowar,Kharif,Maharashtra,Loamy,2.08,25255
Jowar,Annual,Madhya Pradesh,Black,0.63,25505
Onion,Annual,Andhra Pradesh,Clay,1.23,46904
Soybean,Kharif,Tamil Nadu,Clay,2.8,30615
Lentil,Kharif,Punjab,Sandy,0.93,24053
Banana,Annual,Odisha,Red,0.66,125826
Onion,Annual,Punjab,Black,1.61,46575
Rice,Annual,Rajasthan,Clay,2.63,27650
Peas,Annual,Rajasthan,Black,0.69,28213
Groundnut,Kharif,Madhya Pradesh,Clay,1.39,36094
Soybean,Kharif,Andhra Pradesh,Alluvial,2.75,30420
Brinjal,Annual,Rajasthan,Red,0.8,46911
Rice,Rabi,Karnataka,Red,1.28,26013
Chillies,Rabi,Uttar Pradesh,Alluvial,2.45,55500
Sunflower,Kharif,Maharashtra,Sandy,1.86,35348
Brinjal,Annual,Rajasthan,Clay,2.58,47241
Turmeric,Annual,Madhya Pradesh,Clay,0.78,86572
Horse Gram,Kharif,Maharashtra,Clay,2.8,22816
Green Gram,Rabi,Karnataka,Loamy,2.84,23198
Sunflower,Rabi,Andhra Pradesh,Loamy,0.89,37077
Ragi,Rabi,Tamil Nadu,Loamy,0.58,25132
Ragi,Kharif,Punjab,Loamy,2.97,24949
Rice,Rabi,Karnataka,Loamy,1.71,28119
Bajra,Kharif,Odisha,Alluvial,1.93,22863
Sugarcane,Kharif,Telangana,Red,2.04,97518
Mustard,Annual,Madhya Pradesh,Sandy,2.47,27568
Groundnut,Rabi,Punjab,Black,2.53,38231
Carrot,Kharif,Odisha,Loamy,0.98,33787
Soybean,Rabi,Tamil Nadu,Alluvial,1.09,32005
Jowar,Rabi,Odisha,Clay,2.69,26283
Groundnut,Annual,Andhra Pradesh,Sandy,2.55,37129
Soybean,Rabi,Telangana,Sandy,2.04,31071
Sunflower,Annual,Maharashtra,Sandy,2.99,34331
Chillies,Kharif,Punjab,Alluvial,2.34,56330
Maize,Rabi,Telangana,Black,1.04,27154
Rice,Kharif,Uttar Pradesh,Loamy,2.62,27694
Paddy,Rabi,Karnataka,Sandy,1.54,28854
Cabbage,Kharif,Uttar Pradesh,Alluvial,0.59,43866
Cabbage,Rabi,Karnataka,Clay,1.3,45449
Beans,Rabi,Andhra Pradesh,Red,2.41,25911
Brinjal,Rabi,Telangana,Clay,2.9,51608
Sugarcane,Rabi,Tamil Nadu,Alluvial,1.19,94461
Ragi,Rabi,Rajasthan,Alluvial,1.12,27654
Chillies,Rabi,Odisha,Alluvial,1.91,54764
Sunflower,Rabi,Rajasthan,Sandy,2.53,32790
Tomato,Rabi,Telangana,Alluvial,2.37,48369
Bajra,Rabi,Uttar Pradesh,Red,1.9,21800
Ragi,Kharif,Rajasthan,Sandy,2.08,27966
Rice,Annual,Madhya Pradesh,Clay,1.11,28380
Ragi,Rabi,Rajasthan,Red,1.58,27788
Sugarcane,Annual,Karnataka,Laterite,1.14,102148
Banana,Rabi,Madhya Pradesh,Clay,2.71,124414
Garlic,Rabi,Punjab,Alluvial,0.78,52565
Ragi,Kharif,Rajasthan,Loamy,2.2,26615
Rice,Kharif,Madhya Pradesh,Loamy,1.15,28348
Sugarcane,Annual,Telangana,Sandy,1.69,94023
Carrot,Kharif,Odisha,Loamy,1.25,31347
Cabbage,Kharif,Punjab,Clay,1.31,47789
Garlic,Annual,Tamil Nadu,Sandy,1.15,47769
Groundnut,Kharif,Tamil Nadu,Clay,2.38,37829
Bajra,Rabi,Andhra Pradesh,Alluvial,1.41,23737
Soybean,Annual,Rajasthan,Black,2.32,32763
Banana,Annual,Odisha,Black,1.64,123941
Banana,Rabi,Maharashtra,Red,1.87,117634
Carrot,Kharif,Madhya Pradesh,Alluvial,1.86,33143
Mustard,Annual,Punjab,Loamy,2.94,29111
Jowar,Annual,Telangana,Alluvial,1.42,26243
Onion,Rabi,Rajasthan,Laterite,1.02,52754
Horse Gram,Rabi,Telangana,Black,2.78,23379
Groundnut,Kharif,Maharashtra,Loamy,0.94,35621
Green Gram,Annual,Andhra Pradesh,Clay,2.59,21999
Sesame,Kharif,Maharashtra,Clay,0.88,26202
Lentil,Kharif,Karnataka,Black,2.15,26766
Wheat,Rabi,Uttar Pradesh,Alluvial,0.88,33687
Beans,Annual,Punjab,Loamy,2.81,26932
Sugarcane,Annual,Uttar Pradesh,Red,1.91,97095
Cabbage,Annual,Maharashtra,Clay,1.32,44434
Groundnut,Rabi,Andhra Pradesh,Alluvial,0.85,39809
Onion,Rabi,Andhra Pradesh,Red,1.43,50965
Banana,Rabi,Tamil Nadu,Loamy,2.26,115059
Turmeric,Rabi,Rajasthan,Black,1.46,80475
Lentil,Rabi,Tamil Nadu,Laterite,1.12,25839
Wheat,Annual,Punjab,Sandy,1.94,32632
Onion,Kharif,Punjab,Black,1.54,46591
Groundnut,Annual,Punjab,Red,0.91,36508
Bajra,Kharif,Telangana,Alluvial,0.88,21537
Horse Gram,Rabi,Tamil Nadu,Clay,2.27,21134
Tomato,Kharif,Telangana,Loamy,2.94,53317
Jowar,Annual,Uttar Pradesh,Black,1.08,25376
Maize,Annual,Rajasthan,Clay,2.43,27574
Mustard,Kharif,Maharashtra,Clay,0.72,31003
Onion,Rabi,Madhya Pradesh,Laterite,1.45,48167
Beans,Rabi,Tamil Nadu,Loamy,1.77,27692
Peas,Annual,Madhya Pradesh,Red,1.17,31806
Tobacco,Kharif,Andhra Pradesh,Loamy,1.82,60121
Cotton,Rabi,Tamil Nadu,Loamy,2.71,45563
Jowar,Rabi,Uttar Pradesh,Alluvial,2.86,25378
Jowar,Annual,Tamil Nadu,Sandy,0.75,26042
Chillies,Rabi,Telangana,Clay,1.18,53312
Chillies,Kharif,Rajasthan,Red,2.95,54438
Sesame,Annual,Maharashtra,Alluvial,1.18,26109
Beans,Annual,Odisha,Clay,2.23,28390
Beans,Kharif,Maharashtra,Sandy,1.13,26588
Turmeric,Annual,Maharashtra,Alluvial,1.39,82506
Carrot,Rabi,Andhra Pradesh,Sandy,0.98,30764
Cabbage,Rabi,Uttar Pradesh,Sandy,2.64,47141
Jowar,Kharif,Madhya Pradesh,Sandy,2.71,26164
Peas,Rabi,Uttar Pradesh,Alluvial,1.24,28201
Groundnut,Kharif,Odisha,Loamy,2.56,37480
Beans,Kharif,Andhra Pradesh,Sandy,1.4,28255
Rice,Rabi,Rajasthan,Loamy,0.75,27063
Rice,Kharif,Maharashtra,Clay,2.4,28760
Peas,Rabi,Telangana,Clay,1.99,29243
Bajra,Annual,Andhra Pradesh,Red,1.19,23556
Beans,Annual,Punjab,Laterite,1.13,28525
Peas,Kharif,Tamil Nadu,Loamy,2.94,29237
Sesame,Rabi,Uttar Pradesh,Clay,2.66,25842
Onion,Rabi,Andhra Pradesh,Laterite,2.52,52716
Soybean,Annual,Punjab,Sandy,0.82,35122
Ragi,Annual,Madhya Pradesh,Laterite,2.39,25884
Groundnut,Rabi,Odisha,Laterite,1.04,37845
Cotton,Kharif,Odisha,Sandy,2.94,44797
Sunflower,Annual,Maharashtra,Loamy,0.63,33901
Bajra,Kharif,Maharashtra,Sandy,1.38,22525
Soybean,Kharif,Andhra Pradesh,Red,1.57,31362
Beans,Annual,Andhra Pradesh,Black,2.56,27473
Sugarcane,Kharif,Rajasthan,Alluvial,2.42,97892
Rice,Kharif,Tamil Nadu,Sandy,1.44,29287
Horse Gram,Rabi,Karnataka,Sandy,1.91,23039
Mustard,Kharif,Madhya Pradesh,Laterite,2.59,28952
Chillies,Rabi,Maharashtra,Red,0.55,56422
Brinjal,Annual,Karnataka,Clay,2.51,49941
Banana,Annual,Karnataka,Clay,2.87,117477
Bajra,Rabi,Tamil Nadu,Laterite,0.58,21004
Tomato,Annual,Telangana,Loamy,0.61,52814
Brinjal,Kharif,Telangana,Sandy,1.36,45619
Soybean,Kharif,Maharashtra,Sandy,0.72,34669
Sesame,Kharif,Punjab,Laterite,1.7,26088
Green Gram,Annual,Tamil Nadu,Sandy,2.32,22420
Beans,Kharif,Tamil Nadu,Loamy,1.92,27846
Green Gram,Annual,Uttar Pradesh,Black,0.99,22098
Carrot,Kharif,Karnataka,Alluvial,2.14,33440
Sesame,Rabi,Uttar Pradesh,Alluvial,2.21,25768
Chillies,Annual,Karnataka,Alluvial,2.83,52897
Beans,Annual,Telangana,Black,0.87,26972
Groundnut,Kharif,Maharashtra,Sandy,2.23,38701
Maize,Annual,Madhya Pradesh,Laterite,2.78,24703
Ragi,Annual,Telangana,Clay,1.75,27973
Green Gram,Rabi,Tamil Nadu,Red,1.4,22241
Sugarcane,Rabi,Madhya Pradesh,Sandy,0.93,97622
Green Gram,Kharif,Andhra Pradesh,Black,2.67,21542
Brinjal,Rabi,Madhya Pradesh,Loamy,1.49,48956
Green Gram,Kharif,Madhya Pradesh,Black,2.81,23575
Bajra,Kharif,Telangana,Clay,2.62,22833
Green Gram,Kharif,Tamil Nadu,Alluvial,1.44,23500
Maize,Annual,Madhya Pradesh,Sandy,1.93,27551
Maize,Rabi,Telangana,Clay,0.57,25626
Jowar,Kharif,Telangana,Alluvial,1.16,24368
Tomato,Rabi,Madhya Pradesh,Red,2.28,47642
Cabbage,Kharif,Karnataka,Loamy,2.19,43989
Sugarcane,Rabi,Tamil Nadu,Alluvial,1.38,91148
Rice,Rabi,Odisha,Red,2.52,29467
Rice,Kharif,Madhya Pradesh,Black,1.09,29637
Horse Gram,Annual,Uttar Pradesh,Alluvial,1.65,20731
Beans,Rabi,Uttar Pradesh,Alluvial,1.68,26007
Maize,Annual,Andhra Pradesh,Laterite,1.35,25146
Tobacco,Annual,Tamil Nadu,Loamy,2.89,61282
Chillies,Kharif,Telangana,Loamy,2.24,56344
Carrot,Kharif,Rajasthan,Clay,1.85,32338
Cotton,Kharif,Maharashtra,Black,1.78,46394
Cabbage,Rabi,Punjab,Laterite,0.9,48600
Wheat,Kharif,Rajasthan,Clay,1.43,30933
Cabbage,Kharif,Tamil Nadu,Red,2.18,44648
Turmeric,Rabi,Tamil Nadu,Clay,2.81,78116
Brinjal,Rabi,Madhya Pradesh,Red,2.54,47792
Bajra,Kharif,Madhya Pradesh,Black,1.25,23895
Green Gram,Kharif,Rajasthan,Loamy,1.58,21907
Cotton,Kharif,Telangana,Red,0.71,44072
Brinjal,Kharif,Andhra Pradesh,Black,0.76,51178
Sugarcane,Annual,Madhya Pradesh,Clay,1.68,91752
Sesame,Annual,Punjab,Red,1.83,22986
Maize,Kharif,Punjab,Sandy,1.16,28129
Cotton,Annual,Andhra Pradesh,Alluvial,2.11,47481
Tomato,Rabi,Karnataka,Clay,2.26,49652
Turmeric,Annual,Karnataka,Loamy,1.25,87153
Paddy,Annual,Tamil Nadu,Clay,2.4,29714
Paddy,Kharif,Madhya Pradesh,Sandy,1.01,26768
Rice,Annual,Uttar Pradesh,Black,1.86,28388
Soybean,Annual,Rajasthan,Black,2.51,33476
Jowar,Annual,Odisha,Clay,1.84,26269
Bajra,Annual,Andhra Pradesh,Sandy,2.77,24089
Cotton,Rabi,Tamil Nadu,Clay,0.65,45300
Paddy,Kharif,Uttar Pradesh,Alluvial,1.97,29077
Lentil,Kharif,Madhya Pradesh,Alluvial,1.9,24280
Ragi,Rabi,Uttar Pradesh,Laterite,2.15,24479
Sesame,Annual,Uttar Pradesh,Red,2.58,24358
Jowar,Rabi,Andhra Pradesh,Laterite,2.31,25283
Bajra,Annual,Tamil Nadu,Alluvial,2.48,22773
Wheat,Rabi,Telangana,Sandy,1.22,31447
Horse Gram,Kharif,Punjab,Red,1.47,23063
Carrot,Kharif,Rajasthan,Sandy,2.07,33144
Ragi,Kharif,Tamil Nadu,Laterite,1.88,27024
Horse Gram,Annual,Odisha,Black,2.9,20673
Sesame,Annual,Uttar Pradesh,Sandy,0.97,25667
Groundnut,Rabi,Telangana,Laterite,1.38,40252
Sesame,Rabi,Andhra Pradesh,Laterite,1.93,23013
Soybean,Kharif,Maharashtra,Laterite,2.67,32328
Rice,Annual,Rajasthan,Black,2.82,29652
Sunflower,Rabi,Rajasthan,Black,1.34,35356
Groundnut,Annual,Punjab,Clay,0.67,38000
Black Gram,Annual,Maharashtra,Black,1.55,22462
Sunflower,Kharif,Madhya Pradesh,Red,1.49,35183
Rice,Kharif,Maharashtra,Black,2.97,27428
Turmeric,Annual,Uttar Pradesh,Black,1.58,79467
Jowar,Annual,Uttar Pradesh,Black,1.26,24471
Peas,Annual,Uttar Pradesh,Sandy,1.41,28265
Peas,Annual,Uttar Pradesh,Black,1.49,30728
Black Gram,Kharif,Tamil Nadu,Red,2.55,25209
Cabbage,Rabi,Rajasthan,Laterite,0.7,46940
Beans,Kharif,Maharashtra,Sandy,1.29,27166
Mustard,Rabi,Rajasthan,Alluvial,2.92,29424
Ragi,Annual,Odisha,Black,0.88,24754
Groundnut,Rabi,Maharashtra,Clay,2.36,40536
Jowar,Kharif,Tamil Nadu,Clay,1.39,23266
Paddy,Kharif,Odisha,Laterite,1.95,27068
Carrot,Annual,Rajasthan,Laterite,0.75,31585
Paddy,Kharif,Odisha,Sandy,1.27,29367
Peas,Annual,Punjab,Clay,1.75,29093
Sesame,Kharif,Odisha,Alluvial,1.08,23493
Jowar,Kharif,Maharashtra,Loamy,1.85,25748
Green Gram,Annual,Uttar Pradesh,Clay,1.05,22098
Maize,Rabi,Uttar Pradesh,Clay,2.13,25457
Rice,Kharif,Madhya Pradesh,Red,2.76,27128
Paddy,Rabi,Rajasthan,Loamy,0.71,27501
Beans,Kharif,Punjab,Laterite,1.04,26725
Chillies,Kharif,Maharashtra,Loamy,2.61,57763
Sugarcane,Kharif,Maharashtra,Clay,2.08,101643
Sugarcane,Kharif,Andhra Pradesh,Laterite,0.7,93492
Bajra,Rabi,Karnataka,Loamy,1.72,21450
Cabbage,Rabi,Rajasthan,Laterite,1.02,43835
Soybean,Kharif,Maharashtra,Laterite,1.0,31494
Soybean,Kharif,Telangana,Sandy,2.85,30514
Ragi,Rabi,Maharashtra,Alluvial,2.4,25546
Horse Gram,Annual,Andhra Pradesh,Laterite,2.24,20894
Paddy,Annual,Odisha,Red,1.1,29035
Paddy,Rabi,Tamil Nadu,Clay,0.8,28211
Ragi,Kharif,Tamil Nadu,Clay,2.68,24582
Sesame,Kharif,Telangana,Red,0.51,24239
Brinjal,Annual,Telangana,Black,1.47,46125
Tomato,Annual,Madhya Pradesh,Laterite,1.19,51549
Brinjal,Rabi,Tamil Nadu,Laterite,1.93,47219
Rice,Annual,Odisha,Laterite,1.13,26245
Brinjal,Rabi,Tamil Nadu,Loamy,1.28,47114
Sesame,Annual,Karnataka,Laterite,2.63,23607
Turmeric,Annual,Rajasthan,Laterite,2.01,87688
Green Gram,Annual,Tamil Nadu,Red,0.86,24145
Sunflower,Kharif,Uttar Pradesh,Alluvial,2.32,32430
Wheat,Kharif,Madhya Pradesh,Alluvial,1.02,32658
Cotton,Kharif,Andhra Pradesh,Black,1.58,44531
Sunflower,Annual,Telangana,Red,2.12,32638
Sesame,Rabi,Karnataka,Laterite,1.18,22851
Beans,Rabi,Telangana,Alluvial,1.46,28135
Ragi,Rabi,Madhya Pradesh,Sandy,2.34,25577
Paddy,Rabi,Maharashtra,Sandy,2.84,30777
Beans,Kharif,Karnataka,Sandy,1.82,26425
Peas,Kharif,Punjab,Laterite,0.52,28366
Ragi,Annual,Karnataka,Laterite,1.35,27197
Peas,Annual,Madhya Pradesh,Black,1.5,31580
Lentil,Rabi,Andhra Pradesh,Clay,1.35,26808
Black Gram,Kharif,Karnataka,Black,1.59,24420
Garlic,Rabi,Madhya Pradesh,Black,2.08,50010
Black Gram,Annual,Odisha,Loamy,0.8,22072
Maize,Annual,Rajasthan,Sandy,1.18,25485
Tomato,Rabi,Tamil Nadu,Laterite,1.77,49834
Ragi,Annual,Odisha,Sandy,1.29,27882
Paddy,Rabi,Madhya Pradesh,Black,2.98,29635
Lentil,Kharif,Uttar Pradesh,Laterite,1.58,26856
Soybean,Rabi,Maharashtra,Red,2.67,31731
Wheat,Kharif,Tamil Nadu,Alluvial,2.74,32629
Rice,Kharif,Uttar Pradesh,Alluvial,2.59,29142
Wheat,Annual,Andhra Pradesh,Black,0.62,31679
Rice,Annual,Telangana,Clay,2.87,27391
Garlic,Annual,Punjab,Sandy,0.82,52895
Tobacco,Rabi,Tamil Nadu,Red,0.59,58937
Paddy,Rabi,Odisha,Laterite,1.54,30771
Sesame,Annual,Maharashtra,Clay,0.99,24330
Brinjal,Rabi,Uttar Pradesh,Sandy,0.96,45890
Sunflower,Annual,Madhya Pradesh,Black,1.22,34706
Groundnut,Rabi,Tamil Nadu,Sandy,1.12,36455
Ragi,Kharif,Telangana,Black,2.21,26371
Green Gram,Kharif,Madhya Pradesh,Loamy,0.97,21315
Rice,Annual,Uttar Pradesh,Alluvial,1.86,29497
Paddy,Rabi,Maharashtra,Clay,2.97,30211
Chillies,Rabi,Karnataka,Alluvial,1.58,53533
Bajra,Kharif,Telangana,Sandy,2.1,21468
Horse Gram,Kharif,Madhya Pradesh,Red,2.92,22077
Tomato,Annual,Telangana,Laterite,0.84,52230
Cabbage,Kharif,Andhra Pradesh,Black,1.55,45211
Tomato,Annual,Madhya Pradesh,Laterite,2.63,46998
Garlic,Kharif,Tamil Nadu,Alluvial,2.83,51591
Beans,Kharif,Karnataka,Red,2.0,27397
Cotton,Rabi,Karnataka,Red,0.86,44399
Cotton,Kharif,Punjab,Laterite,2.75,47743
Onion,Kharif,Telangana,Alluvial,0.94,52444
Horse Gram,Annual,Odisha,Laterite,1.38,20867
Tomato,Kharif,Karnataka,Sandy,1.44,50306
Sunflower,Annual,Karnataka,Red,1.62,32589
Bajra,Kharif,Andhra Pradesh,Red,2.48,21581
Bajra,Kharif,Rajasthan,Sandy,2.51,21196
Maize,Annual,Andhra Pradesh,Alluvial,2.3,26275
Tobacco,Rabi,Andhra Pradesh,Red,0.56,61168
Beans,Annual,Rajasthan,Clay,1.91,26950
Rice,Annual,Telangana,Loamy,2.37,26551
Jowar,Annual,Madhya Pradesh,Loamy,1.61,22944
Banana,Rabi,Maharashtra,Loamy,2.86,123961
Rice,Kharif,Odisha,Black,2.56,26187
Sugarcane,Annual,Karnataka,Clay,2.1,95133
Jowar,Annual,Punjab,Black,0.66,24636
Lentil,Rabi,Odisha,Alluvial,2.13,27138
Paddy,Annual,Madhya Pradesh,Sandy,2.78,26943
Horse Gram,Kharif,Rajasthan,Laterite,1.45,22581
Wheat,Rabi,Odisha,Clay,2.6,29515
Ragi,Kharif,Karnataka,Alluvial,1.28,26634
Green Gram,Kharif,Odisha,Laterite,1.93,22720
Green Gram,Rabi,Maharashtra,Alluvial,2.12,23579
Chillies,Annual,Rajasthan,Black,2.19,56636
Jowar,Kharif,Odisha,Loamy,2.71,24069
Beans,Kharif,Karnataka,Sandy,1.09,25646
Lentil,Kharif,Karnataka,Black,1.16,24069
Garlic,Kharif,Odisha,Sandy,2.26,51509
Tobacco,Rabi,Telangana,Clay,0.94,61745
Cotton,Rabi,Punjab,Laterite,1.66,46224
Ragi,Kharif,Uttar Pradesh,Alluvial,0.55,27052
Jowar,Annual,Andhra Pradesh,Red,0.85,23874
Soybean,Kharif,Rajasthan,Red,2.2,32551
Sugarcane,Annual,Uttar Pradesh,Sandy,2.37,94875
Brinjal,Kharif,Madhya Pradesh,Loamy,0.79,45420
Lentil,Annual,Madhya Pradesh,Loamy,1.07,25313
Green Gram,Kharif,Karnataka,Sandy,0.75,23422
Garlic,Annual,Madhya Pradesh,Black,1.58,50462
Tobacco,Kharif,Telangana,Red,0.82,59709
Ragi,Kharif,Punjab,Black,1.59,27126
Jowar,Annual,Madhya Pradesh,Laterite,2.33,23961
Rice,Rabi,Maharashtra,Red,2.21,28879
Sesame,Annual,Punjab,Laterite,1.2,24020
Lentil,Rabi,Telangana,Alluvial,2.18,24710
Tobacco,Kharif,Uttar Pradesh,Black,2.82,56051
Cabbage,Annual,Punjab,Sandy,1.37,45079
Rice,Annual,Punjab,Red,1.32,28635
Ragi,Annual,Uttar Pradesh,Black,1.93,27619
Black Gram,Rabi,Telangana,Sandy,1.11,22645
Peas,Rabi,Madhya Pradesh,Alluvial,2.13,27920
Mustard,Kharif,Karnataka,Red,2.58,28914
Tomato,Rabi,Rajasthan,Laterite,1.65,51385
Carrot,Rabi,Uttar Pradesh,Alluvial,2.2,31163
Ragi,Kharif,Uttar Pradesh,Loamy,2.13,26325
Sunflower,Annual,Uttar Pradesh,Sandy,0.6,36095
Garlic,Annual,Uttar Pradesh,Red,0.96,50563
Brinjal,Kharif,Rajasthan,Red,2.73,51697
Black Gram,Annual,Rajasthan,Clay,2.85,22877
